Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",2.682940292742e-01,1.478221158746e-01,-4.581325467489e-02,2.645091945030e-01,5.813374930077e+00,-2.213713261334e-01,-3.784834771189e-03,5.665552814202e+00,-1.755580714585e-01
"                   2",2.576221341422e-01,2.409530941285e-01,-9.956835261395e-02,2.579988454585e-01,3.315749544096e+00,-2.639132784353e-01,3.767113163157e-04,3.074796449968e+00,-1.643449258213e-01
"                   3",2.366765951363e-01,1.889355713592e-01,-1.094944863805e-01,2.876300280768e-01,2.880567398616e+00,-2.887206333767e-01,5.095343294051e-02,2.691631827257e+00,-1.792261469962e-01
"                   4",2.236654154416e-01,7.112157019753e-02,-8.052363678405e-02,4.501457199611e-01,2.690241714314e+00,-1.847967613679e-01,2.264803045195e-01,2.619120144117e+00,-1.042731245838e-01
"                   5",2.184037327811e-01,8.346951483568e-03,-4.104473211500e-02,3.918137115573e-01,1.740078354824e+00,-3.938453360611e-02,1.734099787762e-01,1.731731403340e+00,1.660198508885e-03
"                   6",2.126348640087e-01,3.332383937968e-02,-1.782328865783e-02,2.909863701414e-01,1.026951476916e+00,4.250886024803e-03,7.835150613270e-02,9.936276375361e-01,2.207417468263e-02
"                   7",1.969946211837e-01,9.333454741070e-02,-2.054175245778e-02,2.241581045105e-01,5.742724929432e-01,-2.482614311565e-02,2.716348332677e-02,4.809379455325e-01,-4.284390657868e-03
"                   8",1.810458239696e-01,1.263407975895e-01,-2.619862065246e-02,1.904739309142e-01,3.090111408670e-01,-3.531167949088e-02,9.428106944604e-03,1.826703432775e-01,-9.113058838420e-03
"                   9",1.679150737532e-01,1.147612836473e-01,-2.379552041674e-02,1.706410405813e-01,1.970505433501e-01,-3.538702310432e-02,2.725966828043e-03,8.228925970277e-02,-1.159150268758e-02
"                  10",1.588701534268e-01,8.364771906349e-02,-1.822231027243e-02,1.594749946481e-01,1.328891644115e-01,-2.918758915435e-02,6.048412212791e-04,4.924144534804e-02,-1.096527888192e-02
"                  11",1.504436960492e-01,6.463938952891e-02,-1.702361887299e-02,1.506437176125e-01,9.749925419458e-02,-2.471913184666e-02,2.000215633735e-04,3.285986466567e-02,-7.695512973675e-03
"                  12",1.408224872527e-01,6.787532513594e-02,-2.097486903796e-02,1.414007501517e-01,8.992278979923e-02,-2.499427072447e-02,5.782628990217e-04,2.204746466330e-02,-4.019401686514e-03
"                  13",1.304640578308e-01,8.157766940472e-02,-2.490113594617e-02,1.313164684541e-01,9.847519738077e-02,-2.894539350815e-02,8.524106232774e-04,1.689752797606e-02,-4.044257561986e-03
"                  14",1.209437846196e-01,9.018738163794e-02,-2.654080819599e-02,1.220469506041e-01,1.046051474534e-01,-2.839549104269e-02,1.103165984502e-03,1.441776581545e-02,-1.854682846700e-03
"                  15",1.132508370685e-01,8.805396323575e-02,-2.534745608181e-02,1.136430652657e-01,1.019615323309e-01,-2.653434192963e-02,3.922281972755e-04,1.390756909512e-02,-1.186885847820e-03
"                  16",1.067619686734e-01,8.019613619778e-02,-2.434954351459e-02,1.078345045743e-01,9.313372157547e-02,-2.599299614502e-02,1.072535900824e-03,1.293758537769e-02,-1.643452630427e-03
"                  17",1.009009287648e-01,7.393254665278e-02,-2.392146914996e-02,1.020521420521e-01,8.667725063204e-02,-2.444872480313e-02,1.151213287324e-03,1.274470397926e-02,-5.272556531690e-04
"                  18",9.580890836428e-02,7.251791946009e-02,-2.373722200034e-02,9.709692556335e-02,8.476395521424e-02,-2.417022939613e-02,1.288017199073e-03,1.224603575415e-02,-4.330073957822e-04
"                  19",9.093725955721e-02,7.413702324531e-02,-2.293298228064e-02,9.226510491632e-02,8.588222585045e-02,-2.264986999721e-02,1.327845359106e-03,1.174520260514e-02,2.831122834326e-04
"                  20",8.600875880814e-02,7.532426066078e-02,-2.175615697094e-02,8.732221943272e-02,8.733582723747e-02,-2.154496331388e-02,1.313460624582e-03,1.201156657669e-02,2.111936570627e-04
"                  21",8.123489267471e-02,7.444498050821e-02,-2.120772614912e-02,8.246821667962e-02,8.598425323318e-02,-2.101734230208e-02,1.233324004905e-03,1.153927272496e-02,1.903838470383e-04
"                  22",7.733634370272e-02,7.222318256644e-02,-2.116720827891e-02,7.856117808508e-02,8.350077463832e-02,-2.109182140784e-02,1.224834382363e-03,1.127759207189e-02,7.538687106429e-05
"                  23",7.394916723086e-02,7.028090084188e-02,-2.189927113678e-02,7.511664846702e-02,8.149238478629e-02,-2.207329478832e-02,1.167481236161e-03,1.121148394441e-02,-1.740236515367e-04
"                  24",7.026149584062e-02,6.947115317506e-02,-2.336243510558e-02,7.146995398873e-02,8.041898143283e-02,-2.339139798526e-02,1.208458148108e-03,1.094782825778e-02,-2.896287967934e-05
