Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",1.170207599925e-02,2.571699161827e-03,-1.000337866351e-03,2.686187928031e-02,3.099418648523e-03,3.173190702541e-03,1.515980328106e-02,5.277194866960e-04,4.173528568892e-03
"                   2",2.159556317541e-02,4.876404398036e-03,-2.571721000584e-03,3.596017616558e-02,7.154131453350e-03,1.141906990172e-02,1.436461299017e-02,2.277727055314e-03,1.399079090231e-02
"                   3",2.161907656849e-02,5.085407572993e-03,-4.496473610943e-03,3.250070516978e-02,5.621821535981e-03,1.652772696513e-02,1.088162860129e-02,5.364139629882e-04,2.102420057607e-02
"                   4",1.573458487526e-02,3.713973503877e-03,-5.780546119487e-03,5.200749493840e-02,3.202243555373e-03,7.420064925860e-03,3.627291006314e-02,-5.117299485042e-04,1.320061104535e-02
"                   5",1.013878906262e-02,2.466377250846e-03,-5.025859103411e-03,3.314940153363e-02,-2.199915415997e-03,5.952250569352e-03,2.301061247101e-02,-4.666292666843e-03,1.097810967276e-02
"                   6",9.497861011674e-03,1.751547075825e-03,-3.396979149442e-03,1.767751874469e-02,-1.627331263418e-03,1.281395223391e-02,8.179657733014e-03,-3.378878339243e-03,1.621093138335e-02
"                   7",1.205425533409e-02,1.507153459387e-03,-2.457202176508e-03,1.902077327539e-02,-1.105953702334e-03,8.158089852467e-03,6.966517941296e-03,-2.613107161721e-03,1.061529202898e-02
"                   8",1.432220299113e-02,1.281749376339e-03,-2.320255497230e-03,1.940156711234e-02,7.248737752986e-04,1.572674116565e-03,5.079364121217e-03,-5.568756010402e-04,3.892929613794e-03
"                   9",1.416229943950e-02,8.537272290874e-04,-2.219356301614e-03,1.466713046760e-02,9.090057948078e-04,3.300135169608e-06,5.048310281001e-04,5.527856572036e-05,2.222656436783e-03
"                  10",1.240535553689e-02,4.105447423071e-04,-2.053613720194e-03,1.197159198550e-02,7.777901759158e-04,-1.173511798452e-03,-4.337635513868e-04,3.672454336087e-04,8.801019217416e-04
"                  11",1.095359929839e-02,2.181479669949e-04,-1.961917241253e-03,9.864109631434e-03,5.208619912843e-04,-1.450478086615e-03,-1.089489666958e-03,3.027140242894e-04,5.114391546377e-04
"                  12",1.061463552320e-02,2.561243489227e-04,-2.056339816029e-03,9.510836577164e-03,4.192607583810e-04,-1.958410841904e-03,-1.103798946032e-03,1.631364094583e-04,9.792897412493e-05
"                  13",1.112348958114e-02,3.430868418398e-04,-2.197011738766e-03,1.023945050507e-02,5.487273612993e-04,-2.463402982672e-03,-8.840390760679e-04,2.056405194595e-04,-2.663912439060e-04
"                  14",1.147919821702e-02,3.306141106641e-04,-2.075446139879e-03,1.063861272987e-02,3.684082927427e-04,-2.414124741424e-03,-8.405854871490e-04,3.779418207867e-05,-3.386786015444e-04
"                  15",1.122170774820e-02,1.808133125769e-04,-1.564107731127e-03,1.066948130330e-02,1.695906059797e-04,-1.736430151869e-03,-5.522264449051e-04,-1.122270659722e-05,-1.723224207418e-04
"                  16",1.040573188113e-02,5.410416771182e-07,-8.630319095299e-04,9.885270998927e-03,-2.225099240783e-05,-1.165014414460e-03,-5.204608822064e-04,-2.279203408495e-05,-3.019825049305e-04
"                  17",9.532880814956e-03,-1.671676351622e-04,-3.474469384629e-04,8.807855972831e-03,-1.447736788599e-04,-5.476376834319e-04,-7.250248421255e-04,2.239395630227e-05,-2.001907449690e-04
"                  18",8.883907235379e-03,-2.768645870444e-04,-1.568231192579e-04,8.213129603162e-03,-3.365831237989e-04,-4.481689701630e-04,-6.707776322166e-04,-5.971853675454e-05,-2.913458509050e-04
"                  19",8.572350309343e-03,-3.435384859999e-04,-1.194295221682e-04,7.977923618627e-03,-3.592729582297e-04,-3.362235475918e-04,-5.944266907161e-04,-1.573447222977e-05,-2.167940254236e-04
