Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",4.681889113897e+01,-2.119266383927e+00,-1.499142837536e+00,-6.201235463909e-01,-4.395096455724e-01
"                   2",2.665913691620e+01,-3.375191048301e+00,-2.275970005189e+00,-1.099221043113e+00,-5.883744810379e-01
"                   3",2.233251664348e+01,-4.355023403983e+00,-2.709282888250e+00,-1.645740515733e+00,-5.317711862585e-01
"                   4",2.392861123390e+01,-4.029277304682e+00,-2.865576720708e+00,-1.163700583975e+00,-8.509380683665e-01
"                   5",1.936907085704e+01,-1.959219727020e+00,-1.521994912856e+00,-4.372248141638e-01,-5.423850493462e-01
"                   6",1.497860789968e+01,-1.136077703592e+00,-8.572755026273e-01,-2.788022009643e-01,-2.892366508315e-01
"                   7",1.037599823949e+01,-6.496584533779e-01,-6.360439869647e-01,-1.361446641323e-02,-3.112147602757e-01
"                   8",6.745265307466e+00,-7.625636776425e-01,-6.987270851539e-01,-6.383659248865e-02,-3.174452463326e-01
"                   9",4.190895944014e+00,-6.902396829216e-01,-5.851010150082e-01,-1.051386679134e-01,-2.399811735474e-01
"                  10",2.647129918195e+00,-6.003211722783e-01,-4.960378029034e-01,-1.042833693749e-01,-1.958772167642e-01
"                  11",1.761013085034e+00,-5.655680654206e-01,-4.441789702260e-01,-1.213890951947e-01,-1.613949375156e-01
"                  12",1.575203328982e+00,-6.060884331437e-01,-4.586589585452e-01,-1.474294745984e-01,-1.556147419734e-01
"                  13",1.634263386092e+00,-6.255394036150e-01,-4.803059048920e-01,-1.452334987230e-01,-1.675362030845e-01
"                  14",1.631587349614e+00,-5.233854513500e-01,-4.357599553537e-01,-8.762549599623e-02,-1.740672296788e-01
"                  15",1.565457660603e+00,-3.792187958739e-01,-3.641816941311e-01,-1.503710174277e-02,-1.745722961942e-01
"                  16",1.391226984505e+00,-2.720719301937e-01,-2.977771414229e-01,2.570521122917e-02,-1.617411763260e-01
"                  17",1.265394722313e+00,-2.216994657304e-01,-2.549624219468e-01,3.326295621642e-02,-1.441126890816e-01
"                  18",1.223997744858e+00,-1.900981848168e-01,-2.294309665601e-01,3.933278174332e-02,-1.343818741517e-01
"                  19",1.270804297045e+00,-1.822579577543e-01,-2.216624514401e-01,3.940449368582e-02,-1.305334725630e-01
"                  20",1.270749872692e+00,-1.510627819806e-01,-2.051840784837e-01,5.412129650312e-02,-1.296526874934e-01
"                  21",1.265118997656e+00,-1.073414626407e-01,-1.824642874268e-01,7.512282478612e-02,-1.287935561065e-01
"                  22",1.217060553982e+00,-6.070937551422e-02,-1.538665204853e-01,9.315714497112e-02,-1.235118327282e-01
"                  23",1.187144058190e+00,-5.636062345501e-02,-1.409664118141e-01,8.460578835913e-02,-1.127861000866e-01
"                  24",1.169829304654e+00,-9.113658781731e-02,-1.498569428759e-01,5.872035505858e-02,-1.042886489672e-01
"                  25",1.168153869705e+00,-1.666501424439e-01,-1.787299737926e-01,1.207983134866e-02,-9.540490257061e-02
"                  26",1.176564557954e+00,-2.439730120433e-01,-2.094185633883e-01,-3.455444865504e-02,-8.743205736661e-02
"                  27",1.162597546251e+00,-2.940598709280e-01,-2.257982057793e-01,-6.826166514872e-02,-7.876827031530e-02
"                  28",1.149501368989e+00,-3.194579822909e-01,-2.294689525767e-01,-8.998902971421e-02,-6.973996143125e-02
"                  29",1.134781549568e+00,-3.177249031732e-01,-2.200898648549e-01,-9.763503831833e-02,-6.122741326830e-02
"                  30",1.164116083593e+00,-3.264901338089e-01,-2.220274758457e-01,-1.044626579633e-01,-5.878240894120e-02
"                  31",1.162873060230e+00,-3.306845710917e-01,-2.150902516067e-01,-1.155943194850e-01,-4.974796606085e-02
"                  32",1.165591306981e+00,-3.579522173726e-01,-2.267741353953e-01,-1.311780819773e-01,-4.779802670898e-02
