T,F
0.32,0.148628235
0.325,0.405197144
0.33,1.63545227
0.335,3.971199035
0.34,5.567344666
0.345,6.826141357
0.35,7.812019348
0.355,8.409744262
0.36,8.863616943
0.365,9.187763214
0.37,9.350074768
0.375,9.336147308
0.38,9.321804047
0.385,9.328178406
0.39,9.225185394
0.395,9.201946259
0.4,9.18699646
0.405,9.199382782
0.41,9.184513092
0.415,9.108901978
0.42,8.993415833
0.425,8.888427735
0.43,8.779281616
0.435,8.668022156
0.44,8.55462265
0.445,8.430793762
0.45,8.319507599
0.455,8.187263489
0.46,8.057071686
0.465,7.899593353
0.47,7.727443695
0.475,7.565814972
0.48,7.408363343
0.485,7.261405944
0.49,7.127029419
0.495,6.978019715
0.5,6.789039611
0.505,6.644195556
0.51,6.495147705
0.515,6.356597901
0.52,6.20967102
0.525,6.054328919
0.53,5.894798279
0.535,5.741546631
0.54,5.609291076
0.545,5.468681335
0.55,5.325942993
0.555,5.174819946
0.56,5.027870178
0.565,4.891418457
0.57,4.738189697
0.575,4.601753235
0.58,4.473716736
0.585,4.326766968
0.59,4.196624755
0.595,4.045501709
0.6,3.894332886
0.605,3.743202209
0.61,3.560546875
0.615,3.436714173
0.62,3.308692932
0.625,3.174362183
0.63,3.006423951
0.635,2.870018006
0.64,2.752494812
0.645,2.637039184
0.65,2.508995056
0.655,2.391448974
0.66,2.278083802
0.665,2.168922424
0.67,2.051361084
0.675,1.952690124
0.68,1.866630554
0.685,1.763778687
0.69,1.69442749
0.695,1.59576416
0.7,1.503425598
0.705,1.436218262
0.71,1.369056702
0.715,1.289260864
0.72,1.207344055
0.725,1.17377472
0.73,1.161193847
0.735,1.140182495
0.74,1.104499817
0.745,1.079315185
0.75,1.056182861
0.755,1.035202027
0.76,1.012130737
0.765,1.012123108
0.77,1.02054596
0.775,1.047828675
0.78,1.062469482
0.785,1.062431335
0.79,1.035133361
0.795,1.001571655
0.8,0.980567932
0.805,0.978485107
0.81,0.95324707
0.815,0.955368042
0.82,0.967964172
0.825,0.925918579
0.83,0.940635681
0.835,0.934326172
0.84,0.886032105
0.845,0.825172425
0.85,0.789497376
0.855,0.745407104
0.86,0.695022583
0.865,0.657234192
0.87,0.621528626
0.875,0.602600098
0.88,0.568984985
0.885,0.54586029
0.89,0.529014588
0.895,0.51222229
0.9,0.505874634
0.905,0.468048096
0.91,0.457580567
0.915,0.440818787
0.92,0.424057007
0.925,0.400985718
0.93,0.342170716
0.935,0.325401306
0.94,0.327514648
0.945,0.321250915
0.95,0.31073761
0.955,0.293952941
0.96,0.275032043
0.965,0.262397767
0.97,0.256057739
0.975,0.245544433
0.98,0.230834961
0.985,0.218215943
0.99,0.213989258
0.995,0.213943481
1.0,0.205551147
1.005,0.205535888
1.01,0.205535888
1.015,0.197135925
1.02,0.184524536
1.025,0.19291687
