Data Set 2:Time(s),Data Set 2:Force 1(N),Data Set 2:Force 2(N),Total Force,Integral of force,,
0,-0.46308136,0.054672241,0.408409119,,,
0.005,-0.458885193,0.042053223,0.41683197,,,
0.01,-0.465171814,0.046257019,0.418914795,,,
0.015,-0.458885193,0.044158936,0.414726257,,,
0.02,-0.465171814,0.03364563,0.431526184,,,
0.025,-0.477745056,0.029434204,0.448310852,,,
0.03,-0.471458435,0.03364563,0.437812805,,,
0.035,-0.469367981,0.029434204,0.439933777,,,
0.04,-0.475646973,0.035743713,0.43990326,,,
0.045,-0.471458435,0.03364563,0.437812805,,,
0.05,-0.469367981,0.035743713,0.433624268,,,
0.055,-0.471458435,0.031539917,0.439918518,,,
0.06,-0.465171814,0.035743713,0.429428101,,,
0.065,-0.467269897,0.031539917,0.43572998,,,
0.07,-0.469367981,0.039955139,0.429412842,,,
0.075,-0.467269897,0.03364563,0.433624267,,,
0.08,-0.465171814,0.035743713,0.429428101,,,
0.085,-0.456794739,0.077804565,0.378990174,,,
0.09,-0.460983276,0.054672241,0.406311035,,,
0.095,-0.446311951,0.044158936,0.402153015,,,
0.1,-0.446311951,0.042053223,0.404258728,,,
0.105,-0.437934875,0.035743713,0.402191162,,0.32,1.105
0.11,-0.44002533,0.03364563,0.4063797,,,
0.115,-0.421173096,0.042053223,0.379119873,,,
0.12,-0.416976929,0.050468445,0.366508484,,,
0.125,-0.40650177,0.048362732,0.358139038,,,
0.13,-0.419075012,0.048362732,0.37071228,,,
0.135,-0.427459717,0.046257019,0.381202698,,,
0.14,-0.419075012,0.044158936,0.374916076,,,
0.145,-0.416976929,0.044158936,0.372817993,,,
0.15,-0.414886475,0.037849426,0.377037049,,,
0.155,-0.421173096,0.048362732,0.372810364,,,
0.16,-0.419075012,0.037849426,0.381225586,,,
0.165,-0.416976929,0.037849426,0.379127503,,,
0.17,-0.414886475,0.031539917,0.383346558,,,
0.175,-0.427459717,0.035743713,0.391716004,,,
0.18,-0.414886475,0.042053223,0.372833252,,,
0.185,-0.416976929,0.071495056,0.345481873,,,
0.19,-0.410690308,0.050468445,0.360221863,,,
0.195,-0.412788391,0.042053223,0.370735168,,,
0.2,-0.419075012,0.031539917,0.387535095,,,
0.205,-0.40650177,0.031539917,0.374961853,,,
0.21,-0.393928528,0.06098175,0.332946778,,,
0.215,-0.391838074,0.050468445,0.341369629,,,
0.22,-0.398124695,0.044158936,0.353965759,,,
0.225,-0.385551453,0.035743713,0.34980774,,,
0.23,-0.377166748,0.035743713,0.341423035,,,
0.235,-0.362503052,0.042053223,0.320449829,,,
0.24,-0.362503052,0.037849426,0.324653626,,,
0.245,-0.347831726,0.031539917,0.316291809,,,
0.25,-0.337356567,0.031539917,0.30581665,,,
0.255,-0.322685242,0.03364563,0.289039612,,,
0.26,-0.320594788,0.03364563,0.286949158,,,
0.265,-0.308021545,0.039955139,0.268066406,,,
0.27,-0.312210083,0.037849426,0.274360657,,,
0.275,-0.297546387,0.035743713,0.261802674,,,
0.28,-0.289161682,0.035743713,0.253417969,,,
0.285,-0.278686523,0.048362732,0.230323791,,,
0.29,-0.268211365,0.075698853,0.192512512,,,
0.295,-0.261924744,0.058876038,0.203048706,,,
0.3,-0.247253418,0.054672241,0.192581177,,,
0.305,-0.228393555,0.044158936,0.184234619,,,
0.31,-0.230491638,0.044158936,0.186332702,,,
0.315,-0.211631775,0.037849426,0.173782349,,,
0.32,-0.190681458,0.042053223,0.148628235,,,
0.325,-0.182296753,-0.222900391,0.405197144,,,
0.33,-0.148773193,-1.486679077,1.63545227,,,
0.335,-1.466766357,-2.504432678,3.971199035,,,
0.34,-2.621322632,-2.946022034,5.567344666,,,
0.345,-3.436424255,-3.389717102,6.826141357,,,
