Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
0,-0.5468903,-0.4121475,0.9590378
0.005,-0.5489883,-0.4205627,0.969551
0.01,-0.5406036,-0.4205627,0.9611663
0.015,-0.5343246,-0.4226608,0.9569854
0.02,-0.5406036,-0.418457,0.9590606
0.025,-0.5468903,-0.4205627,0.967453
0.03,-0.5427017,-0.4247665,0.9674682
0.035,-0.5427017,-0.418457,0.9611587
0.04,-0.5489883,-0.4247665,0.9737548
0.045,-0.5489883,-0.4226608,0.9716491
0.05,-0.5510864,-0.4205627,0.9716491
0.055,-0.5406036,-0.4247665,0.9653701
0.06,-0.5427017,-0.4205627,0.9632644
0.065,-0.5427017,-0.4163589,0.9590606
0.07,-0.5510864,-0.4163589,0.9674453
0.075,-0.5447998,-0.3827133,0.9275131
0.08,-0.5510864,-0.4037399,0.9548263
0.085,-0.555275,-0.4079437,0.9632187
0.09,-0.5510864,-0.4079437,0.9590301
0.095,-0.5510864,-0.4163589,0.9674453
0.1,-0.5468903,-0.418457,0.9653473
0.105,-0.5406036,-0.418457,0.9590606
0.11,-0.5510864,-0.4142532,0.9653396
0.115,-0.5510864,-0.418457,0.9695434
0.12,-0.5447998,-0.3911209,0.9359207
0.125,-0.5301285,-0.3995361,0.9296646
0.13,-0.5406036,-0.4142532,0.9548568
0.135,-0.5468903,-0.4226608,0.9695511
0.14,-0.5489883,-0.4100494,0.9590377
0.145,-0.5406036,-0.4163589,0.9569625
0.15,-0.555275,-0.4163589,0.9716339
0.155,-0.5489883,-0.4205627,0.969551
0.16,-0.5427017,-0.4247665,0.9674682
0.165,-0.5468903,-0.4205627,0.967453
0.17,-0.5489883,-0.4163589,0.9653472
0.175,-0.555275,-0.3848114,0.9400864
0.18,-0.555275,-0.3974304,0.9527054
0.185,-0.5594635,-0.405838,0.9653015
0.19,-0.5468903,-0.4142532,0.9611435
0.195,-0.5531769,-0.4247665,0.9779434
0.2,-0.5594635,-0.4205627,0.9800262
0.205,-0.557373,-0.4163589,0.9737319
0.21,-0.5510864,-0.3995361,0.9506225
0.215,-0.5468903,-0.4100494,0.9569397
0.22,-0.5594635,-0.4142532,0.9737167
0.225,-0.5489883,-0.4205627,0.969551
0.23,-0.5531769,-0.4205627,0.9737396
0.235,-0.5447998,-0.4247665,0.9695663
0.24,-0.5531769,-0.4268723,0.9800492
0.245,-0.5531769,-0.4247665,0.9779434
0.25,-0.5594635,-0.4331818,0.9926453
0.255,-0.5594635,-0.431076,0.9905395
0.26,-0.5594635,-0.4268723,0.9863358
0.265,-0.5427017,-0.4268723,0.969574
0.27,-0.5489883,-0.4226608,0.9716491
0.275,-0.5510864,-0.4247665,0.9758529
0.28,-0.5594635,-0.3848114,0.9442749
0.285,-0.5489883,-0.3932266,0.9422149
0.29,-0.5489883,-0.4163589,0.9653472
0.295,-0.555275,-0.418457,0.973732
0.3,-0.555275,-0.418457,0.973732
0.305,-0.5489883,-0.4247665,0.9737548
0.31,-0.5489883,-0.4226608,0.9716491
0.315,-0.5447998,-0.4205627,0.9653625
0.32,-0.5427017,-0.4226608,0.9653625
0.325,-0.5427017,-0.4205627,0.9632644
0.33,-0.5406036,-0.3974304,0.938034
0.335,-0.5343246,-0.405838,0.9401626
0.34,-0.5468903,-0.418457,0.9653473
0.345,-0.5406036,-0.4226608,0.9632644
0.35,-0.5531769,-0.4268723,0.9800492
