Data Set 7:Time(s),Data Set 7:Force 1(N),Data Set 7:Force 2(N),,0,,
0,-0.2493515,-0.1072464,0.3565979,0.0017829895,,p=4.75Ns
0.005,-0.2472534,-0.115654,0.3629074,0.0035975265,,
0.01,-0.2451553,-0.1135559,0.3587112,0.0053910825,,
0.015,-0.2388687,-0.1135559,0.3524246,0.0071532055,,
0.02,-0.2451553,-0.1198578,0.3650131,0.008978271,,
0.025,-0.2556381,-0.1219635,0.3776016,0.010866279,,
0.03,-0.2472534,-0.1240692,0.3713226,0.012722892,,
0.035,-0.2409668,-0.1198578,0.3608246,0.014527015,,
0.04,-0.2451553,-0.1261673,0.3713226,0.016383628,,
0.045,-0.25354,-0.115654,0.369194,0.018229598,,
0.05,-0.251442,-0.115654,0.367096,0.020065078,,
0.055,-0.2493515,-0.115654,0.3650055,0.0218901055,,
0.06,-0.251442,-0.115654,0.367096,0.0237255855,,
0.065,-0.2430649,-0.1135559,0.3566208,0.0255086895,,
0.07,-0.2409668,-0.0862198,0.3271866,0.0271446225,,
0.075,-0.2472534,-0.103035,0.3502884,0.0288960645,,
0.08,-0.2493515,-0.1093445,0.358696,0.0306895445,,
0.085,-0.2430649,-0.115654,0.3587189,0.032483139,,
0.09,-0.2388687,-0.1177597,0.3566284,0.034266281,,
0.095,-0.2451553,-0.1198578,0.3650131,0.0360913465,,
0.1,-0.2493515,-0.1240692,0.3734207,0.03795845,,
0.105,-0.2367783,-0.115654,0.3524323,0.0397206115,,
0.11,-0.2451553,-0.1240692,0.3692245,0.041566734,,
0.115,-0.2430649,-0.1198578,0.3629227,0.0433813475,,
0.12,-0.2430649,-0.0967331,0.339798,0.0450803375,,
0.125,-0.2409668,-0.1009369,0.3419037,0.046789856,,
0.13,-0.2409668,-0.1135559,0.3545227,0.0485624695,,
0.135,-0.2430649,-0.1219635,0.3650284,0.0503876115,,
0.14,-0.2556381,-0.1177597,0.3733978,0.0522546005,,
0.145,-0.2493515,-0.1198578,0.3692093,0.054100647,,
0.15,-0.2430649,-0.1198578,0.3629227,0.0559152605,,
0.155,-0.2430649,-0.115654,0.3587189,0.057708855,,
0.16,-0.2388687,-0.1177597,0.3566284,0.059491997,,
0.165,-0.2388687,-0.1219635,0.3608322,0.061296158,,
0.17,-0.2430649,-0.0841141,0.327179,0.062932053,,
0.175,-0.2493515,-0.1009369,0.3502884,0.064683495,,
0.18,-0.25354,-0.115654,0.369194,0.066529465,,
0.185,-0.2451553,-0.115654,0.3608093,0.0683335115,,
0.19,-0.2409668,-0.115654,0.3566208,0.0701166155,,
0.195,-0.2388687,-0.1261673,0.365036,0.0719417955,,
0.2,-0.25354,-0.128273,0.381813,0.0738508605,,
0.205,-0.2451553,-0.1240692,0.3692245,0.075696983,,
0.21,-0.2367783,-0.0925217,0.3293,0.077343483,,
0.215,-0.2409668,-0.1072464,0.3482132,0.079084549,,
0.22,-0.2493515,-0.1114502,0.3608017,0.0808885575,,
0.225,-0.2451553,-0.1051407,0.350296,0.0826400375,,
0.23,-0.2451553,-0.1135559,0.3587112,0.0844335935,,
0.235,-0.2472534,-0.115654,0.3629074,0.0862481305,,
0.24,-0.2493515,-0.1177597,0.3671112,0.0880836865,,
0.245,-0.2451553,-0.1135559,0.3587112,0.0898772425,,
0.25,-0.2493515,-0.1198578,0.3692093,0.091723289,,
0.255,-0.251442,-0.115654,0.367096,0.093558769,,
0.26,-0.2451553,-0.128273,0.3734283,0.0954259105,,
0.265,-0.2451553,-0.1261673,0.3713226,0.0972825235,,
0.27,-0.2367783,-0.0820084,0.3187867,0.098876457,,
0.275,-0.2472534,-0.1009369,0.3481903,0.1006174085,,
0.28,-0.2409668,-0.1114502,0.352417,0.1023794935,,
0.285,-0.2430649,-0.115654,0.3587189,0.104173088,,
0.29,-0.2472534,-0.1177597,0.3650131,0.1059981535,,
0.295,-0.2451553,-0.1198578,0.3650131,0.107823219,,
0.3,-0.2493515,-0.1114502,0.3608017,0.1096272275,,
0.305,-0.2472534,-0.1177597,0.3650131,0.111452293,,
0.31,-0.2451553,-0.1240692,0.3692245,0.1132984155,,
0.315,-0.2409668,-0.128273,0.3692398,0.1151446145,,
0.32,-0.2367783,-0.1219635,0.3587418,0.1169383235,,
0.325,-0.2346802,-0.1303787,0.3650589,0.118763618,,
0.33,-0.2388687,-0.0904236,0.3292923,0.1204100795,,
0.335,-0.2493515,-0.1051407,0.3544922,0.1221825405,,
0.34,-0.2388687,-0.1135559,0.3524246,0.1239446635,,
0.345,-0.2430649,-0.1219635,0.3650284,0.1257698055,,
0.35,-0.2430649,-0.1219635,0.3650284,0.1275949475,,
0.355,-0.2409668,-0.1177597,0.3587265,0.12938858,,
0.36,-0.2367783,-0.1198578,0.3566361,0.1311717605,,
0.365,-0.2409668,-0.1240692,0.365036,0.1329969405,,
0.37,-0.2451553,-0.1219635,0.3671188,0.1348325345,,
0.375,-0.2493515,-0.1051407,0.3544922,0.1366049955,,
0.38,-0.2409668,-0.0904236,0.3313904,0.1382619475,,
0.385,-0.2409668,-0.1051407,0.3461075,0.139992485,,
0.39,-0.2409668,-0.1093445,0.3503113,0.1417440415,,
0.395,-0.2430649,-0.1135559,0.3566208,0.1435271455,,
0.4,-0.2451553,-0.1177597,0.362915,0.1453417205,,
0.405,-0.2493515,-0.1198578,0.3692093,0.147187767,,
0.41,-0.2430649,-0.1198578,0.3629227,0.1490023805,,
0.415,-0.2430649,-0.1261673,0.3692322,0.1508485415,,
0.42,-0.2430649,-0.1072464,0.3503113,0.152600098,,
0.425,-0.2409668,-0.1135559,0.3545227,0.1543727115,,
0.43,-0.2388687,-0.115654,0.3545227,0.156145325,,
0.435,-0.2430649,-0.1240692,0.3671341,0.1579809955,,
0.44,-0.2388687,-0.115654,0.3545227,0.159753609,,
0.445,-0.2472534,-0.1240692,0.3713226,0.161610222,,
0.45,-0.2472534,-0.1198578,0.3671112,0.163445778,,
0.455,-0.251442,-0.1198578,0.3712998,0.165302277,,
0.46,-0.2493515,-0.1198578,0.3692093,0.1671483235,,
0.465,-0.2451553,-0.115654,0.3608093,0.16895237,,
0.47,-0.251442,-0.1093445,0.3607865,0.1707563025,,
0.475,-0.251442,-0.1135559,0.3649979,0.172581292,,
0.48,-0.2388687,-0.1093445,0.3482132,0.174322358,,
0.485,-0.2409668,-0.0841141,0.3250809,0.1759477625,,
0.49,-0.2493515,-0.103035,0.3523865,0.177709695,,
0.495,-0.2451553,-0.1135559,0.3587112,0.179503251,,
0.5,-0.2409668,-0.1114502,0.352417,0.181265336,,
0.505,-0.2409668,-0.1198578,0.3608246,0.183069459,,
0.51,-0.2388687,-0.0925217,0.3313904,0.184726411,,
0.515,-0.2430649,-0.1072464,0.3503113,0.1864779675,,
0.52,-0.2367783,-0.1093445,0.3461228,0.1882085815,,
0.525,-0.2409668,-0.115654,0.3566208,0.1899916855,,
0.53,-0.2472534,-0.1219635,0.3692169,0.19183777,,
0.535,-0.2472534,-0.115654,0.3629074,0.193652307,,
0.54,-0.25354,-0.115654,0.369194,0.195498277,,
0.545,-0.2472534,-0.1219635,0.3692169,0.1973443615,,
0.55,-0.2430649,-0.1177597,0.3608246,0.1991484845,,
0.555,-0.2472534,-0.1177597,0.3650131,0.20097355,,
0.56,-0.2472534,-0.1240692,0.3713226,0.202830163,,
0.565,-0.2493515,-0.1240692,0.3734207,0.2046972665,,
0.57,-0.25354,-0.1198578,0.3733978,0.2065642555,,
0.575,-0.2451553,-0.1219635,0.3671188,0.2083998495,,
0.58,-0.2430649,-0.1261673,0.3692322,0.2102460105,,
0.585,-0.2472534,-0.0883179,0.3355713,0.211923867,,
0.59,-0.2472534,-0.103035,0.3502884,0.213675309,,
0.595,-0.2493515,-0.1093445,0.358696,0.215468789,,
0.6,-0.2409668,-0.1114502,0.352417,0.217230874,,
0.605,-0.2367783,-0.1219635,0.3587418,0.219024583,,
0.61,-0.2409668,-0.1114502,0.352417,0.220786668,,
0.615,-0.2409668,-0.1051407,0.3461075,0.2225172055,,
0.62,-0.2367783,-0.115654,0.3524323,0.224279367,,
0.625,-0.2430649,-0.1114502,0.3545151,0.2260519425,,
0.63,-0.2493515,-0.0799103,0.3292618,0.2276982515,,
0.635,-0.2409668,-0.103035,0.3440018,0.2294182605,,
0.64,-0.2493515,-0.1114502,0.3608017,0.231222269,,
0.645,-0.2451553,-0.1135559,0.3587112,0.233015825,,
0.65,-0.2577286,-0.1177597,0.3754883,0.2348932665,,
0.655,-0.2493515,-0.128273,0.3776245,0.236781389,,
0.66,-0.2493515,-0.1198578,0.3692093,0.2386274355,,
0.665,-0.2430649,-0.1198578,0.3629227,0.240442049,,
0.67,-0.2451553,-0.1198578,0.3650131,0.2422671145,,
0.675,-0.2430649,-0.1198578,0.3629227,0.244081728,,
0.68,-0.2367783,-0.1198578,0.3566361,0.2458649085,,
0.685,-0.2493515,-0.1240692,0.3734207,0.247732012,,
0.69,-0.2451553,-0.0904236,0.3355789,0.2494099065,,
0.695,-0.2409668,-0.1009369,0.3419037,0.251119425,,
0.7,-0.2388687,-0.1093445,0.3482132,0.252860491,,
0.705,-0.2451553,-0.1240692,0.3692245,0.2547066135,,
0.71,-0.2472534,-0.1240692,0.3713226,0.2565632265,,
0.715,-0.2493515,-0.1135559,0.3629074,0.2583777635,,
0.72,-0.2388687,-0.0925217,0.3313904,0.2600347155,,
0.725,-0.2409668,-0.1009369,0.3419037,0.261744234,,
0.73,-0.2493515,-0.1093445,0.358696,0.263537714,,
0.735,-0.2409668,-0.1114502,0.352417,0.265299799,,
0.74,-0.2451553,-0.1177597,0.362915,0.267114374,,
0.745,-0.2472534,-0.128273,0.3755264,0.268992006,,
0.75,-0.2430649,-0.115654,0.3587189,0.2707856005,,
0.755,-0.251442,-0.1198578,0.3712998,0.2726420995,,
0.76,-0.2451553,-0.1261673,0.3713226,0.2744987125,,
0.765,-0.2493515,-0.1324768,0.3818283,0.276407854,,
0.77,-0.251442,-0.1261673,0.3776093,0.2782959005,,
0.775,-0.2430649,-0.1324768,0.3755417,0.280173609,,
0.78,-0.2430649,-0.1303787,0.3734436,0.282040827,,
0.785,-0.2472534,-0.1261673,0.3734207,0.2839079305,,
0.79,-0.2430649,-0.1219635,0.3650284,0.2857330725,,
0.795,-0.2472534,-0.1240692,0.3713226,0.2875896855,,
0.8,-0.2493515,-0.0862198,0.3355713,0.289267542,,
0.805,-0.2430649,-0.103035,0.3460999,0.2909980415,,
0.81,-0.2388687,-0.0988312,0.3376999,0.292686541,,
0.815,-0.2388687,-0.1135559,0.3524246,0.294448664,,
0.82,-0.2409668,-0.1177597,0.3587265,0.2962422965,,
0.825,-0.2409668,-0.1114502,0.352417,0.2980043815,,
0.83,-0.2388687,-0.1198578,0.3587265,0.299798014,,
0.835,-0.2367783,-0.1198578,0.3566361,0.3015811945,,
0.84,-0.2409668,-0.1135559,0.3545227,0.303353808,,
0.845,-0.2409668,-0.1198578,0.3608246,0.305157931,,
0.85,-0.2493515,-0.1261673,0.3755188,0.307035525,,
0.855,-0.2472534,-0.1219635,0.3692169,0.3088816095,,
0.86,-0.2451553,-0.1219635,0.3671188,0.3107172035,,
0.865,-0.2430649,-0.1261673,0.3692322,0.3125633645,,
0.87,-0.2430649,-0.115654,0.3587189,0.314356959,,
0.875,-0.2409668,-0.1177597,0.3587265,0.3161505915,,
0.88,-0.2430649,-0.1198578,0.3629227,0.317965205,,
0.885,-0.2367783,-0.1177597,0.354538,0.319737895,,
0.89,-0.2493515,-0.1240692,0.3734207,0.3216049985,,
0.895,-0.2409668,-0.1219635,0.3629303,0.32341965,,
0.9,-0.2346802,-0.1198578,0.354538,0.32519234,,
0.905,-0.2409668,-0.0904236,0.3313904,0.326849292,,
0.91,-0.2430649,-0.103035,0.3460999,0.3285797915,,
0.915,-0.251442,-0.1135559,0.3649979,0.330404781,,
0.92,-0.2451553,-0.1219635,0.3671188,0.332240375,,
0.925,-0.2409668,-0.115654,0.3566208,0.334023479,,
0.93,-0.2367783,-0.0967331,0.3335114,0.335691036,,
0.935,-0.2346802,-0.0988312,0.3335114,0.337358593,,
0.94,-0.2388687,-0.1114502,0.3503189,0.3391101875,,
0.945,-0.2472534,-0.1135559,0.3608093,0.340914234,,
0.95,-0.2493515,-0.115654,0.3650055,0.3427392615,,
0.955,-0.2430649,-0.1177597,0.3608246,0.3445433845,,
0.96,-0.2409668,-0.115654,0.3566208,0.3463264885,,
0.965,-0.2493515,-0.1219635,0.371315,0.3481830635,,
0.97,-0.2388687,-0.1198578,0.3587265,0.349976696,,
0.975,-0.251442,-0.1219635,0.3734055,0.3518437235,,
0.98,-0.2409668,-0.1198578,0.3608246,0.3536478465,,
0.985,-0.2493515,-0.1177597,0.3671112,0.3554834025,,
0.99,-0.2430649,-0.1177597,0.3608246,0.3572875255,,
0.995,-0.2472534,-0.1240692,0.3713226,0.3591441385,,
1,-0.251442,-0.1261673,0.3776093,0.361032185,,
1.005,-0.2388687,-0.1240692,0.3629379,0.3628468745,,
1.01,-0.2451553,-0.0841141,0.3292694,0.3644932215,,
1.015,-0.2472534,-0.1009369,0.3481903,0.366234173,,
1.02,-0.2388687,-0.0778046,0.3166733,0.3678175395,,
1.025,-0.2409668,-0.0925217,0.3334885,0.369484982,,
1.03,-0.2367783,-0.1093445,0.3461228,0.371215596,,
1.035,-0.2388687,-0.1072464,0.3461151,0.3729461715,,
1.04,-0.2346802,-0.1219635,0.3566437,0.37472939,,
1.045,-0.2388687,-0.1177597,0.3566284,0.376512532,,
1.05,-0.2409668,-0.1177597,0.3587265,0.3783061645,,
1.055,-0.2346802,-0.1114502,0.3461304,0.3800368165,,
1.06,-0.2472534,-0.115654,0.3629074,0.3818513535,,
1.065,-0.2493515,-0.115654,0.3650055,0.383676381,,
1.07,-0.2493515,-0.1198578,0.3692093,0.3855224275,,
1.075,-0.2493515,-0.1198578,0.3692093,0.387368474,,
1.08,-0.251442,-0.1114502,0.3628922,0.389182935,,
1.085,-0.2388687,-0.1219635,0.3608322,0.390987096,,
1.09,-0.2451553,-0.115654,0.3608093,0.3927911425,,
1.095,-0.2472534,-0.1177597,0.3650131,0.394616208,,
1.1,-0.251442,-0.1219635,0.3734055,0.3964832355,,
1.105,-0.2472534,-0.1177597,0.3650131,0.398308301,,
1.11,-0.2409668,-0.0967331,0.3376999,0.3999968005,,
1.115,-0.2409668,-0.069397,0.3103638,0.4015486195,,
1.12,-0.2451553,-0.0862198,0.3313751,0.403205495,,
1.125,-0.2493515,-0.1051407,0.3544922,0.404977956,,
1.13,-0.251442,-0.1114502,0.3628922,0.406792417,,
1.135,-0.2409668,-0.1177597,0.3587265,0.4085860495,,
1.14,-0.2325897,-0.1135559,0.3461456,0.4103167775,,
1.145,-0.2325897,-0.115654,0.3482437,0.412057996,,
1.15,-0.2451553,-0.1135559,0.3587112,0.413851552,,
1.155,-0.2451553,-0.1177597,0.362915,0.415666127,,
1.16,-0.2388687,-0.1177597,0.3566284,0.417449269,,
1.165,-0.2346802,-0.1198578,0.354538,0.419221959,,
1.17,-0.2388687,-0.115654,0.3545227,0.4209945725,,
1.175,-0.2472534,-0.1177597,0.3650131,0.422819638,,
1.18,-0.2451553,-0.1198578,0.3650131,0.4246447035,,
1.185,-0.2388687,-0.1219635,0.3608322,0.4264488645,,
1.19,-0.2493515,-0.1240692,0.3734207,0.428315968,,
1.195,-0.2451553,-0.1261673,0.3713226,0.430172581,,
1.2,-0.2367783,-0.1219635,0.3587418,0.43196629,,
1.205,-0.2472534,-0.1177597,0.3650131,0.4337913555,,
1.21,-0.2493515,-0.1177597,0.3671112,0.4356269115,,
1.215,-0.2472534,-0.0988312,0.3460846,0.4373573345,,
1.22,-0.2472534,-0.0967331,0.3439865,0.439077267,,
1.225,-0.2493515,-0.1072464,0.3565979,0.4408602565,,
1.23,-0.2430649,-0.0862198,0.3292847,0.44250668,,
1.235,-0.2430649,-0.1051407,0.3482056,0.444247708,,
1.24,-0.2409668,-0.1114502,0.352417,0.446009793,,
1.245,-0.2451553,-0.115654,0.3608093,0.4478138395,,
1.25,-0.2430649,-0.1198578,0.3629227,0.449628453,,
